Rank,Sean Focus Callout,Route Eligibility,Current PL / Owner,Target Score,Tier,Referral Evidence Band,Operating Lane,Account / Practice,MMC Company ID,Practice Type,City,Full Address,MMC Groups,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,Last Patient Date,Last Completed Visit,Days Since Visit,Visit-Days 4W,Visit-Days 12W,Linked People,Frequency Status,Planned Cadence Days,Operating Status,Next Action,Coordinate Status,Referral Sources / Review Notes
213,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Office of Robin Samyn MD,1275525198,PCP,Grosse Pointe Woods,"20825 Mack Ave, Grosse Pointe Woods, Michigan, 48236",Internal Medicine/PCP,0,0,0,0,,2026-06-03 00:00:00,43,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
214,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Office of Steven Minnick MD,55411fc7-f7ca-4227-919c-cccbff7dacee,PCP,Grosse Pointe,"22151 Moross Rd g33, Grosse Pointe, Michigan, 48236",Internal Medicine/PCP,0,0,0,0,,2026-06-03 00:00:00,43,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
215,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,One Health,0daacd4e-c7e1-4704-b9d1-efe7f6b22924,Urgent Care,South Lyon,"12660 10 Mile Rd, South Lyon, Michigan, 48178",Urgent care;Internal Medicine/PCP,0,0,0,0,,2026-03-04 00:00:00,134,0,0,3,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
216,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,One Health Community Care,ae33622e-dac2-4241-92df-718b9ce3cc61,PCP,Detroit,"22711 Grand River, Detroit, Michigan, 48219",Internal Medicine/PCP,0,0,0,0,,2026-02-24 00:00:00,142,0,0,7,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
217,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Opdyke Medical,2880b297-388c-497a-9db9-377f392d2887,PCP,Pontiac,"3959 Centerpoint Pkwy, Pontiac, Michigan, 48341",Internal Medicine/PCP,0,0,0,0,,2026-03-13 00:00:00,125,0,0,6,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
218,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Peer Chiropractic,1679543292,Chiropractor,Rochester,"3950 S Rocherster Rd, Rochester, MI, 483075160",Chiropractor,0,0,0,0,,2026-06-09 00:00:00,37,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
219,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Providence Medical Center - South Lyon,367eabbf-8d5c-49d7-bd04-2c9b6a2c3c0b,PCP,South Lyon,"210 N Lafayette St, South Lyon, Michigan, 48178",Internal Medicine/PCP,0,0,0,0,,2026-03-04 00:00:00,134,0,0,14,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
220,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Rochester Community Primary Care - Ascension,4262f685-06fc-4639-bb62-4d0bdb225ca0,PCP,Rochester Hills,"1000 W University Dr ste 100, Rochester Hills, Michigan, 48307",Internal Medicine/PCP,0,0,0,0,,2026-03-17 00:00:00,121,0,0,5,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
221,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Romeo Family Practice,03-690-4915,PCP,Washington,"64580 Van Dyke Rd ste c, Washington, MI, 48095",Internal Medicine/PCP,0,0,0,0,,2026-03-17 00:00:00,121,0,0,6,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
222,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,The Joint Chiropractic - Troy,76c4006f-b4ff-4e44-837c-b7f1861f1a8b,Chiropractor,Troy,"788 E Big Beaver Rd Troy, Troy, Michigan, 48083",Chiropractor,0,0,0,0,,2026-03-25 00:00:00,113,0,0,4,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
223,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Trinity IHA Primary & Urgent Care - South Lyon,efc01329-3254-49cb-8fd4-1a6de92fe5ba,PCP,South Lyon,"23200 Pontiac Trail, South Lyon, MI, 48178",Internal Medicine/PCP,0,0,0,0,,2026-03-04 00:00:00,134,0,0,5,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
224,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Troy Urgent Care,9ec6b0b9-6a5a-4350-a95d-3b157fd44824,Urgent Care,Troy,"4060 Rochester Road, Troy, Michigan, 48085",Urgent care,0,0,0,0,,2026-03-27 00:00:00,111,0,0,3,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
225,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Upchurch Chiropractic,e0f7dcb7-addc-4737-a549-eb0c50cd993e,Chiropractor,Royal Oak,"2436 Rochester Rd, Royal Oak, Michigan, 48073",Chiropractor,0,0,0,0,,2026-05-12 00:00:00,65,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
226,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,VanEvery Family Chiropractic Center,fd9a8bf3-91d4-46b0-83bf-30fbcacd7d81,Chiropractor,Royal Oak,"4203 Rochester Rd, Royal Oak, Michigan, 48073",Chiropractor,0,0,0,0,,2026-03-13 00:00:00,125,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
227,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Village Medical - South Lyon Family Physicians,1770582793,PCP,South Lyon,"12660 10 mile Rd, South Lyon, MI, 48178",Internal Medicine/PCP,0,0,0,0,,2026-03-04 00:00:00,134,0,0,4,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
228,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Expansion / Test,1st Choice Urgent Care- Rochester,a86dc162-e205-4e2c-a7ef-b46512dc14ba,Urgent Care,Rochester Hills,"2952 S Rochester Rd, Rochester Hills, Michigan, 48307",Urgent care,0,0,0,0,,2026-06-05 00:00:00,41,0,2,0,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
229,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,ADVANCE MEDICAL HOME PHYSICIANS,f7057c59-a9e2-4860-882c-35356925e1e7,PCP,TROY,"2888 E LONG LAKE RD STE 150, TROY, Michigan, 48085",Internal Medicine/PCP,0,0,0,0,,2026-03-25 00:00:00,113,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
230,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,"Beaumont Royal Oak - Hospital Consultants, PC",1295719409,ER / Hospital,Royal Oak,"3601 W 13 Mile Rd, Royal Oak, MI, 480736712",Hospitalist,0,0,0,0,,2026-02-23 00:00:00,143,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
231,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Bi County Health Urgent Care,66a4e7af-d40d-44b4-95b7-83984f1d24ff,Urgent Care,Detroit,"116 8 Mile Rd, Detroit, Michigan",Urgent care,0,0,0,0,,2026-02-17 00:00:00,149,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
232,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Chesterfield Family Chiropractic - Pontiac,cbc6eeec-d414-4adb-a286-adc0225234e8,Chiropractor,Pontiac,"133 S Telegraph Rd, Pontiac, MI, 48341",Chiropractor,0,0,0,0,,2025-03-18 00:00:00,485,0,0,1,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
233,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Eisman Chiropractic Clinic,680423a8-4a33-4a8e-b2d3-61b7778233d6,Chiropractor,Detroit,"17401 Greenfield, Detroit, MI, 48235",Chiropractor,0,0,0,0,,2026-02-18 00:00:00,148,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
234,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,GetWell Urgent Care,6988fcda-1e8b-4a33-aa04-cdab4472c7a9,Urgent Care,Detroit,"19335 Grand River Ave, Detroit, Michigan, 48223",Urgent care,0,0,0,0,,2026-02-18 00:00:00,148,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
235,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Gregory Clague DO,b2c35755-69e0-4325-9ece-76ce4295f3b7,PCP,Oak Park,"10300 W 9 Mile Rd, Oak Park, MI, 48237",Internal Medicine/PCP,0,0,0,0,,2025-04-23 00:00:00,449,0,0,1,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
236,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Expansion / Test,IEP Urgent Care - Ferndale,94dc1578-a97b-49be-89f7-eceebcf39b9e,Urgent Care,Ferndale,"1111 West Nine Mile Road, Ferndale, Michigan, 48220",Urgent care,0,0,0,0,,2026-04-22 00:00:00,85,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
237,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Livernois Primary and Urgent Care,ec0a00f1-51cd-41e6-b55a-50b9d4644067,Urgent Care,Detroit,"18254 Livernois, Detroit, Michigan, 48221",Urgent care,0,0,0,0,,2026-02-18 00:00:00,148,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
238,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Expansion / Test,Lukosavich Chiropractic Center,b5fccab1-1908-43a7-9f1e-bc743c6c9cd0,Chiropractor,,"48881 Hayes Rd Shelby Township, Michigan, 48315",Chiropractor,0,0,0,0,,2026-05-06 00:00:00,71,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
239,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Office of Floyd J. Raeon,c96dcb1c-07de-43f7-aab6-f3b28a03c230,Chiropractor,Rochester Hills,"1832 Auburn Rd, Rochester Hills, Michigan, 48307",Chiropractor,0,0,0,0,,2025-08-22 00:00:00,328,0,0,1,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
240,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,PREMISE HEALTH,a8a0dd2b-3ea7-412d-86cd-d029e409c2d1,PCP,MADISON HEIGHTS,"300 W 13 MILE RD, MADISON HEIGHTS, MI, 48071",Internal Medicine/PCP,0,0,0,0,,2025-03-07 00:00:00,496,0,0,1,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
241,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,"Samarian MD, Bruce",1720002090,PCP,Berkley,"1695 W 12 Mile Rd, Berkley, Michigan, 480722100",Internal Medicine/PCP,0,0,0,0,,2026-03-23 00:00:00,115,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
242,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Select Medical Group Of Michigan,332b188a-cebd-4a68-a7fc-90065edb5017,PCP,Oak Park,"23350 Greenfield Rd ste 200, Oak Park, Michigan, 48237",Internal Medicine/PCP,0,0,0,0,,2026-03-03 00:00:00,135,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
243,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,7,Prospect,Visit / Prospect,Reactivation,Southeastern Michigan Medical Consultants,4951f1d5-81df-4107-a831-602a12be4183,PCP,Grosse Pointe Woods,"20825 Mack Ave ste 3, Grosse Pointe Woods, Michigan, 48236",Internal Medicine/PCP,0,0,0,0,,2026-02-18 00:00:00,148,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
244,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,6,Prospect,Visit / Prospect,Expansion / Test,Corewell Health Urgent Care,1d0a3fc4-bd55-4b73-b1fa-eb6ad99ce4e0,Urgent Care,GROSSE POINTE,"18700 MACK AVE, GROSSE POINTE, Michigan",Urgent care,0,0,0,0,,2026-06-03 00:00:00,43,0,1,0,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
245,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,6,Prospect,Visit / Prospect,Reactivation,Gio Urgent Care,8bc04147-6e95-43da-9e2c-757f68b7f12c,Pain,Madison Heights,"28373 Dequindre Road, Madison Heights, Michigan, 48071",Neurology;Pain Management,0,0,0,0,,2025-03-07 00:00:00,496,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
246,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Advanced Urgent Care & Walk-In Clinic,d3007bd2-f587-4b99-bdbc-9df98ce7e515,Urgent Care,South Lyon,"22316 Pontiac Trail, South Lyon, Michigan",Urgent care,0,0,0,0,,2025-10-02 00:00:00,287,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
247,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Birmingham royal oak urgent care,7ea7612e-0487-4a32-b3ef-e9310493617b,Urgent Care,Royal Oak,"5140 Coolidge Highway, Royal Oak, Michigan, 48073",Urgent care,0,0,0,0,,2025-09-19 00:00:00,300,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
248,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Doctors Urgent Care - Troy West,88a60813-1557-4919-bc0a-1e58de97e342,Urgent Care,Troy,"1933 W Maple Rd, Troy, Michigan, 48084",Urgent care,0,0,0,0,,2026-02-11 00:00:00,155,0,0,0,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
249,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,ELIZABETH LAKE URGENT CARE,cbf02257-6580-4123-b820-8743dadd22bc,Urgent Care,WATERFORD,"2446 ELIZABETH LAKE RD, WATERFORD, Michigan",Urgent care,0,0,0,0,,2025-02-14 00:00:00,517,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
250,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Get well urgent care Bloomfield,10-542-1543,Urgent Care,Pontiac,"983 Orchard Lake Road, Pontiac, Michigan, 48341",Urgent care,0,0,0,0,,2025-02-14 00:00:00,517,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
251,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,Medpointe Rochester Urgent Care,e18ec0d7-5471-4da3-8ed3-1254b9b40800,Urgent Care,Rochester,"150 S Main St, Rochester, Michigan, 48307",Urgent care,0,0,0,0,,2026-01-21 00:00:00,176,0,0,0,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
252,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,UMC Urgent Care,713ccf1e-12fc-4d5a-b9af-557a02ed0e01,Urgent Care,Detroit,"15615 W McNichols Rd, Detroit, Michigan, 48235",Urgent care,0,0,0,0,,2025-05-20 00:00:00,422,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
253,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,5,Prospect,Visit / Prospect,Reactivation,VISITING PHYSICIANS ASSOCIATION TROY,479fa1a1-7df5-4f9e-8af3-88ec2d012e50,PCP,TROY,"500 KIRTS BLVD STE 200, TROY, Michigan",Internal Medicine/PCP,0,0,0,0,,2025-01-15 00:00:00,547,0,0,0,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
